loc,scientific.name,spp,tree,easting,northing,lat,lon,dbh.in,dwtot.lb
NB,Celtis occidentalis,HB,8,596466,4645396,41.95464812314702,-85.83603436380668,20.1,4179.538601
NB,Celtis occidentalis,HB,9,596491,4645345,41.9541858161556,-85.8357411313499,11.2,1039.151555
NB,Celtis occidentalis,HB,10,596517,4645340,41.954137610353165,-85.8354282980918,10.5,968.0884906
RF,Fagus grandifolia,AB,1,585630,4651099,42.007255953356506,-85.96592978295679,19.7,4622.87165
RF,Fagus grandifolia,AB,2,585792,4651070,42.00697716446784,-85.96397801296376,24.6,7822.502853
RF,Fagus grandifolia,AB,3,585512,4651022,42.006575380562424,-85.96736574500004,16.5,2764.699134
RF,Fagus grandifolia,AB,4,585586,4651093,42.007206707214216,-85.96646191921666,11.3,1125.599559
RF,Fagus grandifolia,AB,5,585496,4651047,42.0068022482023,-85.96755528864914,7.4,384.7461602
RF,Fagus grandifolia,AB,6,585496,4651068,42.00699135722715,-85.96755223067471,2.2,23.17750251
RF,Fagus grandifolia,AB,7,585756,4651172,42.007899615557804,-85.96439778079225,31.4,15394.62889
RF,Fagus grandifolia,AB,8,585645,4651158,42.007785627496276,-85.9657400643759,14,2446.559834
RF,Fagus grandifolia,AB,9,585699,4651178,42.00795985417881,-85.96508513687263,28,10884.66838
RF,Fagus grandifolia,AB,10,585668,4651090,42.00717077222319,-85.96547227942601,17.4,4392.6156
RF,Fagus grandifolia,AB,11,585656,4650972,42.00610946602129,-85.96563438356452,26,9336.024582
RF,Fagus grandifolia,AB,12,585652,4651117,42.00741565328252,-85.96566152623471,29.2,12582.79429
RF,Fagus grandifolia,AB,13,585670,4651087,42.007143539013725,-85.96544856895763,21.4,6599.731991
RF,Fagus grandifolia,AB,14,585665,4651040,42.00672083940502,-85.96551579705152,10,940.8539818
RF,Fagus grandifolia,AB,15,585619,4651113,42.00738322244803,-85.96606055672328,5.8,237.7172321
