loc,scientific.name,spp,tree,easting,northing,lat,lon,dbh.in,dwtot.lb
NW,Liriodendron tulipifera,TP,7,597481,4643756,41.93975536584373,-85.82406124353155,1.8,4.822052657
NW,Liriodendron tulipifera,TP,8,597494,4643755,41.93974475486989,-85.8239046185301,6.5,160.1568007
NW,Liriodendron tulipifera,TP,9,597438,4643722,41.939454511479866,-85.82458548155722,29.4,8215.02273
NW,Liriodendron tulipifera,TP,10,597490,4643676,41.93903386498243,-85.8239659343539,19.6,2718.257274
NW,Liriodendron tulipifera,TP,11,597490,4643678,41.93905187470757,-85.8239656034077,22.5,4236.847599
NW,Liriodendron tulipifera,TP,12,597478,4643686,41.93912539608724,-85.82410900787883,24.7,5415.708617
NW,Liriodendron tulipifera,TP,13,597461,4643690,41.9391635154087,-85.82431337789873,7.6,236.1818837
NW,Liriodendron tulipifera,TP,14,597460,4643691,41.9391726437826,-85.8243252731723,9.3,389.4560579
NW,Liriodendron tulipifera,TP,16,597492,4643768,41.93986206517428,-85.82392658886187,3.8,37.03489603
NW,Liriodendron tulipifera,TP,17,597405,4643753,41.939737736547116,-85.82497836110139,31.7,10594.11929
ASGA,Pinus strobus,WP,1,578421,4711173,42.54897264544619,-86.04483814103858,2.6,12.1995295
ASGA,Pinus strobus,WP,2,578426,4711206,42.549269287930926,-86.04477271844449,4.5,58.39426349
ASGA,Pinus strobus,WP,3,578399,4711130,42.548587682901875,-86.04511196533248,16.5,1526.533705
ASGA,Pinus strobus,WP,4,578310,4710935,42.54684082218295,-86.04622255954287,20.3,2578.835906
ASGA,Pinus strobus,WP,5,578407,4711092,42.54824469805099,-86.0450197560012,9.7,415.4054898
ASGA,Pinus strobus,WP,6,578448,4711172,42.548960899429275,-86.04450946490228,12.5,699.0184661
ASGA,Pinus strobus,WP,7,580939,4714463,42.57833753820973,-86.0137068753422,32,8886.303968
ASGA,Pinus strobus,WP,8,580818,4714403,42.577809954369826,-86.01518962741481,26.5,4430.008512
ASGA,Pinus strobus,WP,9,578427,4711204,42.54925117730831,-86.04476081473304,5.8,130.3719022
ASGA,Pinus strobus,WP,10,582224,4716100,42.59294183691416,-85.9978145484775,24.2,4720.21837
ASGA,Pinus strobus,WP,11,582274,4716115,42.59307157036086,-85.99720304985841,8.3,257.7839212
ASGA,Pinus strobus,WP,12,580873,4714403,42.57780419247341,-86.01451951956463,30.9,7873.395076
ASGA,Pinus strobus,WP,13,578426,4711219,42.54938634705412,-86.04477093340557,14.7,1131.246142
ASGA,Pinus strobus,WP,14,582269,4716086,42.59281097750267,-85.99726816969822,22.4,3681.596408
ASGA,Pinus strobus,WP,15,578329,4710994,42.547370164695515,-86.04598308965699,18.2,2144.081943
ASGA,Pinus strobus,WP,16,581008,4714348,42.577294790017625,-86.0128825221394,28.7,5978.178962
MC,Quercus alba,WO,2,715062,4666987,42.12549968789116,-84.39815778853895,4,69.80983297
MC,Quercus alba,WO,3,712885,4669276,42.14668859006472,-84.42363429491881,27.2,11020.01202
MC,Quercus alba,WO,4,712888,4669245,42.146408858313734,-84.42360934082191,23.3,8960.768072
MC,Quercus alba,WO,5,715052,4666997,42.12559240189292,-84.39827496510279,16.4,2354.875678
MC,Quercus alba,WO,6,715056,4667002,42.125636290807066,-84.39822477900493,17.9,3149.151856
MC,Quercus alba,WO,7,715029,4666991,42.12554472577189,-84.39855515425437,13.5,1529.537177
MC,Quercus alba,WO,8,715449,4667162,42.12696796012164,-84.39341592154015,5.9,173.8297248
MC,Quercus alba,WO,9,715172,4666968,42.125298567891775,-84.39683532930184,19.3,4049.344423
MC,Quercus alba,WO,10,715149,4666988,42.1254848214213,-84.39710593610943,21.3,5161.562827
MC,Quercus alba,WO,11,715001,4666946,42.125147530065746,-84.39891013619415,11,1171.277356
MC,Quercus alba,WO,12,715097,4666999,42.12559805469837,-84.39773035621931,11.3,1107.063339
MC,Quercus alba,WO,13,715020,4666961,42.12527727839073,-84.39867497812045,2.5,25.19424938
MC,Quercus alba,WO,14,715064,4666797,42.1237896775071,-84.39820360814348,31.5,12984.93021
MC,Quercus alba,WO,15,715465,4667339,42.12855605556169,-84.3931572067899,29.4,12828.20066
MC,Quercus alba,WO,16,715269,4667566,42.130652239391125,-84.39544245371454,25.4,8373.695334
LC,Tsuga canadensis,EH,1,643908,4906931,44.301388960621786,-85.19590663782353,19.9,2100.499234
